Household Population Under Poverty,Proportion of Households Under Poverty,KPredict
89.0,7.4,3
167.0,16.3,2
74.0,10.8,3
17.0,5.7,0
1.0,0.5,0
33.0,5.4,0
29.0,4.1,0
15.0,6.6,0
8.0,5.0,0
60.0,7.8,3
4.0,6.2,0
23.0,6.4,0
36.0,9.5,0
32.0,5.0,0
0.0,0.0,0
77.0,6.9,3
18.0,2.9,0
3.0,1.8,0
3.0,1.1,0
9.0,4.6,0
3.0,5.9,0
5.0,9.4,0
6.0,3.5,0
1.0,8.3,0
4.0,6.9,0
30.0,10.1,0
21.0,5.0,0
13.0,4.4,0
9.0,3.4,0
34.0,5.5,0
3.0,1.2,0
3.0,1.9,0
3.0,1.8,0
4.0,2.1,0
101.0,6.2,3
18.0,4.8,0
1.0,2.0,0
3.0,1.5,0
30.0,5.9,0
29.0,3.6,0
2.0,2.6,0
173.0,11.5,2
257.0,5.0,2
374.0,7.3,1
171.0,3.6,2
82.0,3.9,3
105.0,1.6,3
130.0,6.1,3
404.0,7.7,1
135.0,2.8,3
75.0,2.5,3
356.0,9.6,1
10.0,5.6,0
63.0,4.5,3
91.0,6.7,3
211.0,3.4,2
171.0,5.6,2
246.0,4.3,2
192.0,3.6,2
96.0,2.3,3
500.0,11.9,1
