Barangay,Proportion of Households Under Poverty,Household Population Under Poverty,Households Population with No Access to Clean Water,Proportion of households with no access to clean water,Number of Households with malnourished children,Proportion of households with malnourished children,Total number of households
Barangay 1 (Pob.),7.4,89,21,1.7 ,0,0.0 ,1206
Barangay 2 (Pob.),16.3,167,8,0.8 ,3,0.3 ,1022
Barangay 3 (Pob.),10.8,74,3,0.4 ,2,0.3 ,687
Barangay 4 (Pob.),5.7,17,6,2.0 ,1,0.3 ,296
Barangay 5 (Pob.),0.5,1,0,0.0 ,0,0.0 ,188
Barangay 6 (Pob.),5.4,33,6,1.0 ,3,0.5 ,610
Barangay 7 (Pob.),4.1,29,4,0.6 ,2,0.3 ,705
Barangay 8 (Pob.),6.6,15,0,0.0 ,0,0.0 ,229
Barangay 9 (Pob.),5.0 ,8,1,0.6 ,0,0.0 ,160
Barangay 10 (Pob.),7.8,60,89,11.6 ,1,0.1 ,765
Barangay 11 (Pob.),6.2,4,0,0.0 ,0,0.0 ,65
Barangay 12 (Pob.),6.4,23,4,1.1 ,0,0.0 ,361
Barangay 13 (Pob.),9.5,36,3,0.8 ,1,0.3 ,380
Barangay 14 (Pob.),5.0 ,32,7,1.1 ,0,0.0 ,640
Barangay 15 (Pob.),0.0 ,0,0,0.0 ,1,0.8 ,126
Barangay 16 (Pob.),6.9,77,0,0.0 ,0,0.0 ,1110
Barangay 17 (Pob.),2.9,18,1,0.2 ,0,0.0 ,613
Barangay 18 (Pob.),1.8,3,0,0.0 ,0,0.0 ,171
Barangay 19 (Pob.),1.1,3,1,0.4 ,0,0.0 ,261
Barangay 20 (Pob.),4.6,9,15,7.6 ,0,0.0 ,197
Barangay 21 (Pob.),5.9,3,6,11.8 ,0,0.0 ,51
Barangay 22 (Pob.),9.4,5,11,20.8 ,0,0.0 ,53
Barangay 23 (Pob.),3.5,6,3,1.8 ,1,0.6 ,170
Barangay 24 (Pob.),8.3,1,1,8.3 ,0,0.0 ,12
Barangay 25 (Pob.),6.9,4,3,5.2 ,0,0.0 ,58
Barangay 26 (Pob.),10.1,30,5,1.7 ,0,0.0 ,296
Barangay 27 (Pob.),5.0 ,21,57,13.6 ,0,0.0 ,420
Barangay 28 (Pob.),4.4,13,3,1.0 ,0,0.0 ,295
Barangay 29 (Pob.),3.4,9,1,0.4 ,1,0.4 ,261
Barangay 30 (Pob.),5.5,34,9,1.5 ,1,0.2 ,617
Barangay 31 (Pob.),1.2,3,1,0.4 ,0,0.0 ,254
Barangay 32 (Pob.),1.9,3,0,0.0 ,0,0.0 ,154
Barangay 33 (Pob.),1.8,3,0,0.0 ,0,0.0 ,167
Barangay 34 (Pob.),2.1,4,2,1.0 ,0,0.0 ,195
Barangay 35 (Pob.),6.2,101,48,3.0 ,4,0.2 ,1625
Barangay 36 (Pob.),4.8,18,2,0.5 ,0,0.0 ,376
Barangay 37 (Pob.),2.0 ,1,0,0.0 ,0,0.0 ,51
Barangay 38 (Pob.),1.5,3,0,0.0 ,0,0.0 ,201
Barangay 39 (Pob.),5.9,30,7,1.4 ,2,0.4 ,512
Barangay 40 (Pob.),3.6,29,2,0.2 ,0,0.0 ,806
Barangay 41 (Pob.),2.6,2,3,3.9 ,0,0.0 ,76
Alangilan,11.5,173,1009,67.2 ,1,0.1 ,1501
Alijis,5.0 ,257,48,0.9 ,3,0.1 ,5123
Banago,7.3,374,184,3.6 ,33,0.6 ,5094
Bata,3.6,171,395,8.2 ,86,1.8 ,4801
Cabug,3.9,82,97,4.6 ,2,0.1 ,2118
Estefania,1.6,105,215,3.2 ,5,0.1 ,6753
Felisa,6.1,130,40,1.9 ,0,0.0 ,2140
Granada,7.7,404,813,15.5 ,36,0.7 ,5233
Haandumanan,2.8,135,199,4.1 ,5,0.1 ,4874
Mandalagan,2.5,75,104,3.4 ,1,0.0 ,3057
Mansilingan,9.6,356,658,17.8 ,0,0.0 ,3707
Montevista,5.6,10,1,0.6 ,0,0.0 ,180
Pahanocoy,4.5,63,34,2.4 ,3,0.2 ,1408
Punta-taytay,6.7,91,103,7.6 ,4,0.3 ,1360
Singcang,3.4,211,293,4.7 ,3,0.0 ,6196
Sum-ag,5.6,171,280,9.2 ,1,0.0 ,3059
Taculing,4.3,246,512,8.9 ,0,0.0 ,5748
Tangub,3.6,192,210,3.9 ,2,0.0 ,5332
Villamonte,2.3,96,392,9.3 ,3,0.1 ,4229
Vista Alegre,11.9,500,732,17.4 ,95,2.3 ,4210
,,,,,,,
,,,,,,,
